# omega_M, omega_L, omega_K
2.931300000000000017e-01 6.622299999999999853e-01 1.000000000000000000e+00
2.931300000000000017e-01 6.622299999999999853e-01 3.000000000000000000e+00
2.931300000000000017e-01 6.622299999999999853e-01 3.000000000000000000e+00
2.931300000000000017e-01 6.622299999999999853e-01 3.000000000000000000e+00
2.931300000000000017e-01 6.622299999999999853e-01 3.000000000000000000e+00
2.873399999999999843e-01 6.562200000000000255e-01 1.000000000000000000e+00
2.699599999999999778e-01 6.672500000000000098e-01 1.000000000000000000e+00
2.699599999999999778e-01 6.672500000000000098e-01 3.000000000000000000e+00
2.699599999999999778e-01 6.672500000000000098e-01 3.000000000000000000e+00
2.699599999999999778e-01 6.672500000000000098e-01 3.000000000000000000e+00
2.656499999999999972e-01 6.674400000000000333e-01 1.000000000000000000e+00
2.656499999999999972e-01 6.674400000000000333e-01 3.000000000000000000e+00
2.656499999999999972e-01 6.674400000000000333e-01 3.000000000000000000e+00
2.656499999999999972e-01 6.674400000000000333e-01 3.000000000000000000e+00
2.656499999999999972e-01 6.674400000000000333e-01 3.000000000000000000e+00
2.656499999999999972e-01 6.674400000000000333e-01 3.000000000000000000e+00
2.656499999999999972e-01 6.674400000000000333e-01 3.000000000000000000e+00
2.816899999999999959e-01 6.839899999999999869e-01 1.000000000000000000e+00
2.856099999999999750e-01 7.212899999999999867e-01 1.000000000000000000e+00
2.856099999999999750e-01 7.212899999999999867e-01 3.000000000000000000e+00
2.855400000000000160e-01 7.210400000000000142e-01 1.000000000000000000e+00
2.855400000000000160e-01 7.210400000000000142e-01 3.000000000000000000e+00
2.855400000000000160e-01 7.210400000000000142e-01 3.000000000000000000e+00
2.855400000000000160e-01 7.210400000000000142e-01 3.000000000000000000e+00
2.855400000000000160e-01 7.210400000000000142e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 1.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
2.879999999999999782e-01 7.206599999999999673e-01 3.000000000000000000e+00
