# omega_L, omega_K, weight
7.986100000000000421e-01 2.013900000000000134e-01 1.000000000000000000e+00
7.986100000000000421e-01 2.013900000000000134e-01 3.000000000000000000e+00
8.005100000000000549e-01 1.994900000000000007e-01 2.000000000000000000e+00
8.005100000000000549e-01 1.994900000000000007e-01 3.000000000000000000e+00
8.005100000000000549e-01 1.994900000000000007e-01 3.000000000000000000e+00
8.005100000000000549e-01 1.994900000000000007e-01 3.000000000000000000e+00
8.005100000000000549e-01 1.994900000000000007e-01 3.000000000000000000e+00
7.951599999999999779e-01 2.048399999999999943e-01 1.000000000000000000e+00
7.951599999999999779e-01 2.048399999999999943e-01 3.000000000000000000e+00
7.913299999999999779e-01 2.086699999999999944e-01 1.000000000000000000e+00
7.913299999999999779e-01 2.086699999999999944e-01 3.000000000000000000e+00
7.913299999999999779e-01 2.086699999999999944e-01 3.000000000000000000e+00
7.913299999999999779e-01 2.086699999999999944e-01 3.000000000000000000e+00
7.900399999999999645e-01 2.099600000000000077e-01 1.000000000000000000e+00
7.900399999999999645e-01 2.099600000000000077e-01 3.000000000000000000e+00
7.651999999999999913e-01 2.348000000000000087e-01 1.000000000000000000e+00
7.614300000000000512e-01 2.385700000000000043e-01 1.000000000000000000e+00
7.614300000000000512e-01 2.385700000000000043e-01 3.000000000000000000e+00
7.434399999999999897e-01 2.565600000000000103e-01 1.000000000000000000e+00
7.434399999999999897e-01 2.565600000000000103e-01 3.000000000000000000e+00
7.333499999999999464e-01 2.666499999999999981e-01 1.000000000000000000e+00
7.333499999999999464e-01 2.666499999999999981e-01 3.000000000000000000e+00
7.297000000000000153e-01 2.702999999999999847e-01 1.000000000000000000e+00
7.132899999999999796e-01 2.867100000000000204e-01 1.000000000000000000e+00
7.132899999999999796e-01 2.867100000000000204e-01 3.000000000000000000e+00
6.509500000000000286e-01 3.490500000000000269e-01 1.000000000000000000e+00
6.509500000000000286e-01 3.490500000000000269e-01 3.000000000000000000e+00
6.491200000000000303e-01 3.508800000000000252e-01 1.000000000000000000e+00
6.491200000000000303e-01 3.508800000000000252e-01 3.000000000000000000e+00
6.491200000000000303e-01 3.508800000000000252e-01 3.000000000000000000e+00
6.530799999999999939e-01 3.469200000000000061e-01 2.000000000000000000e+00
6.530799999999999939e-01 3.469200000000000061e-01 3.000000000000000000e+00
